EarthquakeDepth,M,Rrup,Rjb,lnPGA,lnPGV,lnVs30,Residual
2.61,3.6,153.82,153.9,-9.87853444704771,-5.950363410751435,6.156978985585555,-0.232880095619665
1.6,3.6,222.15,222.24,-10.698217017489425,-6.570746043713368,6.091309882077698,-0.0686512297234323
4.09,4.0,125.8,125.88,-9.170434316800328,-5.580394747997875,6.551080335043404,-0.739975204907429
10.01,3.3,61.2,60.45,-8.846291671127638,-5.50930356882087,6.115892125483034,-0.81898908409886
2.06,3.6,108.2,108.27,-9.349650314018884,-4.779075828147522,5.69035945432406,-0.668612021037493
1.34,3.8,116.69,116.77,-9.526207703212364,-5.677628618008012,5.429345628954441,-1.20177314828551
10.5,6.4,178.7,178.19,-4.843516097322159,-0.32696373999607664,6.137727054086234,-0.257910089044636
16.65,4.5,292.07,291.86,-5.513892282381296,-1.3148738254623114,6.244166900663736,3.27243034701712
10.83,3.8,178.03,177.84,-7.676095598738176,-4.181810413378562,5.579729825986222,1.17556467291285
16.8,4.6,200.98,200.55,-8.835442243482959,-4.623889045772495,5.768320995793772,-1.62690520403178
3.2,3.6,11.52,11.13,-6.721654040858253,-2.798645740808804,6.53813982376767,-1.24383281882652
18.46,4.0,131.56,130.4,-8.978689669305409,-4.92440004446556,6.1779441140506,-1.41544683001572
0.57,3.6,150.52,150.58,-10.87680953574749,-7.603926647793127,6.573680166960646,-0.974451028779377
9.27,4.1,29.25,27.93,-3.518284924229936,-0.2991370306892234,6.319958614030018,1.75552121399629
2.05,3.7,228.59,228.69,-10.285805514843473,-5.922020129583289,6.1903154058531475,0.232827449837469
-1.11,4.5,214.0,213.42,-8.220202404794346,-3.7422340715688542,5.961005339623274,0.452445105477707
6.79,4.7,103.41,103.42,-7.085921987126201,-3.1486747568780085,6.39024066706535,-0.796986690207418
0.0,4.7,182.41,182.45,-8.084699631809068,-3.9103484083488347,6.5638555265321274,-0.0510268378824286
1.54,3.6,233.0,233.09,-6.021662881406565,-2.381873276226088,5.8916442118257715,4.65610336214288
7.46,3.7,284.7,284.73,-10.997452835280802,-7.007986903251958,6.5638555265321274,0.0822223894003464
-0.67,3.5,214.9,214.54,-9.841050982701203,-6.031918817580347,6.470799503782602,1.21274824028094
16.28,4.1,326.51,326.29,-6.974945109068468,-3.3063019333015733,6.052089168924417,2.99270407345626
17.01,3.7,259.6,259.15,-9.785053599883296,-6.083186273120948,5.676753802268282,0.054427260956281
7.11,3.8,232.7,232.72,-9.909655294009244,-6.315983896954021,6.57507584059962,0.348344143764985
4.75,3.6,264.49,264.56,-10.74394273751636,-7.476044139512452,5.961005339623274,0.177744755768096
11.22,4.2,260.76,260.71,-10.84861731025302,-7.309445102453862,6.293419278846481,-1.46389450102791
8.55,4.5,267.52,267.64,-10.65324868341848,-6.325634523964196,6.565264970035361,-1.55890241495477
5.26,4.2,43.74,43.54,-8.370675209515088,-4.268056440891733,5.958424693029782,-2.64538177167271
10.05,3.6,208.14,208.0,-10.117590394498189,-6.183588082719812,6.342121418721152,-0.0185782224645319
7.14,4.3,115.53,115.49,-5.9334265713072,-2.327723778560175,6.431331081933479,1.4447497977483
10.55,3.5,88.79,88.26,-9.276564611806142,-5.6759430526146195,6.049733455231958,-1.06925088056372
10.55,3.9,32.31,30.73,-7.004746845525247,-3.27619862869003,5.43372200355424,-1.63477878987956
2.83,3.6,156.24,156.33,-12.200747907145049,-7.824224151722434,6.565264970035361,-2.33804834013844
5.61,3.6,266.73,266.79,-11.340112976400118,-7.084808175573659,5.953243334287785,-0.442524393084827
13.05,5.2,68.91,67.84,-2.6999679308199007,0.8786610116202016,6.319958614030018,1.57130923230623
5.15,3.6,42.47,42.24,-4.5010825500981015,-0.637655559492055,5.429345628954441,2.22672280267703
3.95,4.9,104.39,104.48,-5.7277840108448865,-2.1265311366370954,6.453624998892692,0.335592456252368
5.91,3.9,149.11,149.13,-9.934182602262421,-5.7662446249444805,6.025865973825314,-1.25127856955339
11.42,3.8,141.16,140.82,-7.531842083666937,-3.643033734856666,5.683579767338681,0.7757801437961
1.24,3.7,288.26,288.35,-10.507827323272767,-6.114432953592334,6.495265555937008,0.923140063892237
18.21,3.6,46.36,42.8,-5.226927370461364,-2.047942874620465,5.91350300563827,1.14900023025664
6.43,3.9,107.41,107.35,-8.126956346976755,-4.033329259084494,6.100318952020064,-0.154839564657249
9.85,3.6,188.35,188.2,-7.596208851772597,-4.945563259052542,5.8916442118257715,2.03261426727033
2.7,3.5,187.47,187.55,-9.092411835794403,-5.485536810432108,6.4425401664681985,1.39167033255333
0.21,3.6,90.21,90.25,-8.48893178382534,-5.098919296894336,6.008813185442595,0.0828085398199967
4.7,3.7,323.97,324.06,-12.85288066317173,-9.437457206335491,6.453624998892692,-1.22620685581889
1.45,3.6,171.09,171.18,-12.515171495317652,-8.257252553868883,6.60934924316738,-2.33351166012559
13.91,4.4,211.72,211.49,-10.390161685701603,-6.698905721782232,6.551080335043404,-2.0810007964701
12.31,4.4,53.28,51.97,-6.3133990189822145,-2.100715598197221,5.968707559985366,-1.08113978710491
9.62,4.6,214.89,214.95,-9.063540126236008,-4.339710793298654,5.955837369464831,-1.1870760686665
4.36,3.5,114.43,114.44,-10.541204605215619,-7.444132532938494,6.148468295917647,-1.44002452008451
1.81,4.2,76.8,76.88,-7.134833962784081,-3.189126312657619,6.104793232414985,-0.19912835011533
3.97,3.5,251.71,251.78,-11.853298172547836,-7.905623460226935,6.028278520230698,-0.796659071366884
3.73,3.8,175.8,175.89,-12.25289814591602,-7.483037507240959,6.566672429803241,-2.57908190506597
13.41,4.1,194.41,194.11,-9.4495882039093,-5.6666911616824835,6.436150368369428,-0.753822425540795
2.48,3.5,178.51,178.59,-10.44969724014922,-6.600981346475259,6.208590026096629,-0.190233650652537
6.07,3.6,218.85,218.87,-11.534053998691965,-7.4835620996299275,5.717027701406222,-1.36901660399015
7.99,3.7,51.54,51.02,-8.598069625709911,-5.1369324938496606,6.1070228877422545,-1.61315988041766
4.22,3.8,326.69,326.8,-9.57850969534065,-5.635189683190589,6.483107351457199,1.9032231941423
